1511933834320,67,30,52,89
1511933854257,65,53,71,99
1511933874226,56,55,83,128
1511933894135,42,63,99,154
1511933914098,60,53,100,160
1511933934093,51,77,89,165
1511933954011,54,68,116,161
1511933973979,46,66,129,177
1511933993959,68,55,148,187
1511934013900,51,60,147,168
1511934033871,43,66,138,169
1511934053829,57,68,145,184
1511934073815,63,58,143,200
1511934093797,81,69,160,183
1511934113803,62,64,150,177
1511934133810,64,64,141,180
1511934153777,60,72,144,194
1511934173749,60,65,150,187
1511934193760,53,60,156,186
1511934213749,45,50,148,185
1511934233723,44,54,162,192
1511934253695,88,50,126,190
1511934273688,84,51,125,177
1511934293659,74,66,141,199
1511934313668,66,63,151,174
1511934333662,74,69,144,198
1511934353647,72,59,130,189
1511934373658,54,72,142,190
1511934393632,60,78,157,198
1511934413612,62,59,151,203
1511934433607,63,81,148,207
1511934453620,74,81,141,188
1511934473596,78,75,160,191
1511934493628,87,56,147,191
1511934513598,78,58,145,188
1511934533647,77,72,166,207
1511934553634,61,74,152,212
1511934573636,82,73,147,205
1511934593638,97,71,145,195
1511934613632,70,64,138,181
1511934633645,66,47,166,177
1511934653657,78,60,157,197
1511934673641,50,79,146,193
1511934693652,56,56,144,204
1511934713663,85,51,160,191
1511934733665,72,55,161,190
1511934753645,71,76,153,183
1511934773672,71,99,144,193
1511934793648,72,84,135,210
1511934813660,55,51,156,204
1511934833663,67,55,169,198
1511934853665,76,42,167,206
1511934873653,58,59,150,201
1511934893670,48,53,164,183
1511934913676,63,57,156,194
1511934933663,77,80,151,201
1511934953664,67,115,156,210
1511934973672,69,77,149,217
1511934993639,82,72,130,204
1511935013637,79,65,147,188
1511935033652,41,73,155,199
1511935053654,67,59,173,182
1511935073680,103,47,168,189
1511935093683,74,66,153,189
1511935113692,71,81,158,197
1511935133692,59,57,152,180
1511935153683,53,48,156,189
1511935173686,56,58,145,205
1511935193677,67,52,134,205
1511935213686,54,66,163,201
1511935233688,68,56,156,193
1511935253691,74,63,144,193
1511935273685,60,62,124,191
1511935293684,69,74,134,210
1511935313691,84,74,143,194
1511935333693,86,68,153,196
1511935353683,80,74,121,203
1511935373716,58,80,146,198
1511935393662,60,74,150,189
1511935413685,63,88,158,183
1511935433674,59,52,142,187
1511935453684,56,62,135,204
1511935473700,83,55,149,201
1511935493696,71,63,152,178
1511935513698,86,68,149,174
1511935533695,93,73,148,208
1511935553701,75,57,155,208
1511935573667,69,87,165,191
1511935593664,87,74,176,185
1511935613660,89,87,160,205
1511935633658,62,87,138,205
1511935653659,66,59,117,198
1511935673643,64,44,131,187
1511935693648,42,77,157,219
1511935713648,92,66,164,211
1511935733653,82,85,168,220
1511935753642,72,113,162,197
1511935773649,89,89,163,199
1511935793639,70,108,155,180
1511935813638,60,103,156,166
1511935833637,65,102,162,184
1511935853636,74,95,156,182
1511935873636,63,63,163,190
1511935893635,62,39,151,193
1511935913639,77,61,140,200
1511935933623,80,60,182,198
1511935953632,62,44,174,191
1511935973638,74,49,169,211
1511935993627,73,56,166,188
1511936013623,78,57,169,199
1511936033635,54,79,158,197
1511936053624,66,61,142,200
1511936073635,46,54,146,196
1511936093624,63,81,149,184
1511936113635,67,73,131,191
1511936133623,83,73,147,204
1511936153633,83,72,145,199
1511936173636,73,67,145,195
1511936193634,70,67,136,188
1511936213647,77,79,134,200
1511936233622,82,77,142,204
1511936253638,73,65,164,187
1511936273628,63,62,171,179
1511936293628,66,78,159,186
1511936313634,78,75,153,195
1511936333637,87,70,152,206
1511936353637,85,69,154,206
1511936373637,83,59,139,194
1511936393642,70,85,142,207
1511936413632,81,91,143,203
1511936433632,82,69,150,195
1511936453643,87,100,146,198
1511936473647,82,72,155,185
1511936493632,74,75,139,179
1511936513646,100,86,138,168
1511936533643,70,71,91,184
1511936553632,42,76,131,217
1511936573637,63,69,146,211
1511936593634,59,68,118,195
1511936613634,67,70,121,196
1511936633620,72,56,144,193
1511936653628,66,69,158,209
1511936673625,82,85,148,187
1511936693627,57,92,158,200
1511936713610,58,78,169,191
1511936733627,90,78,157,201
1511936753620,94,64,136,207
1511936773604,55,81,130,202
1511936793617,44,71,155,218
1511936813597,70,74,150,190
1511936833622,89,55,151,198
1511936853612,86,61,166,206
1511936873612,81,67,150,199
1511936893632,63,90,131,187
1511936913633,56,79,149,172
1511936933631,58,93,149,183
1511936953627,65,96,160,200
1511936973628,62,93,130,201
